ticker,cash,value,SharpeRatio,DrawDown
600330.XSHG,656876,656876,-0.14,76.64%
600893.XSHG,1522448,1522448,0.19,71.31%
000970.XSHE,212724,212724,-0.52,85.39%
002681.XSHE,653887,653887,0.09,89.83%
002877.XSHE,682740,682740,-1.15,31.96%
600665.XSHG,6619,597461,-0.15,73.07%
000786.XSHE,2916348,2916348,0.36,39.03%
600664.XSHG,27233,302120,-0.49,85.38%
002876.XSHE,870349,870349,-0.01,45.47%
688099.XSHG,1328091,1328091,0.38,25.78%
002680.XSHE,1796978,1796978,0.28,49.49%
600892.XSHG,8189,733121,-0.0,85.17%
000971.XSHE,702513,702513,-0.17,82.21%
002029.XSHE,624265,624265,-0.96,74.49%
688630.XSHG,98637,974218,-1.78,38.1%
688456.XSHG,93902,1091492,0.78,21.01%
002028.XSHE,98229,940455,0.05,53.01%
603303.XSHG,61171,1039075,-0.04,38.44%
603165.XSHG,886836,886836,-0.06,25.23%
600801.XSHG,844024,844024,0.06,58.61%
002613.XSHE,343277,343277,-0.49,90.17%
600491.XSHG,625638,625638,-0.05,79.97%
000572.XSHE,897638,897638,0.01,65.79%
002475.XSHE,5310793,5310793,0.46,43.33%
603538.XSHG,1039800,1039800,0.02,54.36%
000715.XSHE,52324,755530,-0.05,74.98%
002474.XSHE,38365,397343,-0.08,88.85%
002612.XSHE,1557685,1557685,0.21,84.38%
600800.XSHG,447318,447318,-0.47,74.31%
600490.XSHG,807198,807198,-0.08,75.55%
000573.XSHE,19747,246233,-0.97,85.24%
601658.XSHG,643218,643218,-0.98,36.62%
300600.XSHE,839760,839760,0.03,49.97%
600239.XSHG,494512,494512,-0.45,71.75%
605099.XSHG,911861,911861,-1.43,11.36%
600238.XSHG,65426,516725,-0.09,84.14%
605098.XSHG,965388,965388,-1.58,3.58%
000878.XSHE,352318,352318,-0.33,82.41%
002789.XSHE,557114,557114,-0.92,54.31%
002788.XSHE,476733,476733,-1.05,54.89%
688191.XSHG,884156,884156,-1.17,16.44%
603833.XSHG,804156,804156,-0.25,44.07%
002121.XSHE,11842,2137441,0.28,70.81%
002347.XSHE,407902,407902,-0.28,89.05%
605365.XSHG,996493,996493,-6.7,1.4%
000026.XSHE,1142891,1142891,0.07,68.97%
300133.XSHE,553591,553591,0.03,78.49%
300355.XSHE,1036468,1036468,0.06,49.3%
002346.XSHE,848018,848018,0.02,65.86%
000027.XSHE,1280873,1280873,0.13,76.16%
002120.XSHE,864923,864923,-0.06,67.89%
300354.XSHE,210262,1962652,0.29,72.26%
300132.XSHE,1066903,1066903,0.04,68.23%
300214.XSHE,645777,645777,-0.2,53.6%
300072.XSHE,3606466,3606466,0.44,54.47%
600084.XSHG,61458,1605070,0.21,74.29%
002206.XSHE,727788,727788,0.03,77.93%
002060.XSHE,478239,478239,-0.25,83.59%
688679.XSHG,960593,960593,-1.25,6.77%
000301.XSHE,2060331,2060331,0.27,68.37%
300073.XSHE,902551,902551,0.06,61.39%
300215.XSHE,821956,821956,0.07,66.41%
002061.XSHE,904430,904430,0.04,60.4%
688678.XSHG,873644,873644,-0.87,34.98%
600085.XSHG,641236,641236,-0.12,67.36%
000166.XSHE,534948,534948,-0.88,50.36%
002207.XSHE,1359107,1359107,0.14,60.62%
000939.XSHE,1398514,1398514,0.18,56.45%
000938.XSHE,1654439,1654439,0.21,69.5%
688585.XSHG,901695,901695,-0.92,13.56%
600378.XSHG,77001,827868,0.04,67.68%
600379.XSHG,581946,581946,0.03,80.73%
601718.XSHG,1454625,1454625,0.18,81.62%
300740.XSHE,1347051,1347051,0.71,35.1%
002534.XSHE,1145601,1145601,0.16,60.63%
000655.XSHE,1092819,1092819,0.04,55.74%
300741.XSHE,1254789,1254789,0.24,43.44%
002535.XSHE,30207,442081,-0.77,78.63%
603025.XSHG,1626832,1626832,0.25,54.64%
688517.XSHG,905975,905975,-1.21,9.4%
002168.XSHE,582283,582283,-0.12,74.09%
002169.XSHE,606955,606955,-0.11,89.95%
688516.XSHG,1198227,1198227,0.3,51.46%
002936.XSHE,949657,949657,-1.0,13.27%
600724.XSHG,523105,523105,-0.53,79.71%
000831.XSHE,256809,2988845,0.3,52.86%
300925.XSHE,933925,933925,-1.03,10.07%
000830.XSHE,2228390,2228390,0.25,63.69%
600543.XSHG,542336,542336,-0.44,77.1%
600725.XSHG,850504,850504,-0.03,72.42%
002937.XSHE,86800,988215,-3.01,33.8%
300286.XSHE,123339,1291127,0.18,77.38%
002294.XSHE,159492,1744479,0.28,56.27%
600016.XSHG,953451,953451,0.0,43.89%
600270.XSHG,116792,1259395,0.17,62.56%
300287.XSHE,2142540,2142540,0.28,71.87%
600271.XSHG,2047094,2047094,0.3,61.61%
002295.XSHE,508723,508723,-0.03,88.78%
600017.XSHG,902913,902913,-0.0,75.62%
300648.XSHE,1876857,1876857,0.35,44.82%
603717.XSHG,1057023,1057023,0.06,27.99%
600848.XSHG,789335,789335,-0.03,72.12%
300910.XSHE,99550,1520709,0.67,34.75%
300580.XSHE,774642,774642,-0.33,49.3%
002592.XSHE,966550,966550,0.1,89.34%
600710.XSHG,524113,524113,-0.17,78.96%
002902.XSHE,727373,727373,-0.86,43.81%
600576.XSHG,48661,760038,0.1,86.71%
601949.XSHG,660672,660672,-0.48,55.63%
300911.XSHE,778489,778489,-0.25,37.59%
300581.XSHE,1168352,1168352,0.16,52.58%
600577.XSHG,1743880,1743880,0.23,76.07%
002593.XSHE,307340,307340,-0.15,93.51%
002903.XSHE,828952,828952,-0.38,38.79%
600711.XSHG,915459,915459,0.04,66.13%
603277.XSHG,933644,933644,-0.09,36.54%
300328.XSHE,812947,812947,0.01,83.25%
601116.XSHG,57096,618211,0.08,80.38%
605318.XSHG,700043,700043,-1.09,30.0%
603010.XSHG,1782498,1782498,0.37,41.17%
300329.XSHE,1248857,1248857,0.16,64.62%
601117.XSHG,1009910,1009910,0.06,60.63%
002408.XSHE,1490273,1490273,0.2,48.86%
002898.XSHE,62958,597821,-0.77,56.33%
688077.XSHG,1123610,1123610,0.23,38.88%
002409.XSHE,1649837,1649837,0.21,54.16%
002899.XSHE,636242,636242,-0.91,36.38%
000768.XSHE,753259,753259,0.01,78.42%
688210.XSHG,851032,851032,-1.13,17.99%
600023.XSHG,582081,582081,-0.99,72.85%
300488.XSHE,491394,491394,-0.34,67.89%
300818.XSHE,785549,785549,-0.26,41.65%
600618.XSHG,378862,378862,-0.22,83.88%
300489.XSHE,1130931,1130931,0.14,55.97%
300819.XSHE,979545,979545,-1.74,8.32%
600619.XSHG,163415,163415,-0.96,87.57%
300220.XSHE,4843760,4843760,0.45,65.35%
300046.XSHE,406380,406380,-0.16,85.85%
002232.XSHE,207514,207514,-0.66,92.07%
000153.XSHE,175365,1581278,0.22,53.94%
002054.XSHE,519492,519492,-0.32,77.06%
603118.XSHG,838105,838105,-0.04,52.71%
300047.XSHE,811315,811315,-0.01,76.79%
300221.XSHE,2320703,2320703,0.32,62.29%
605077.XSHG,98614,1024809,0.19,8.74%
002055.XSHE,822875,822875,0.1,87.8%
002233.XSHE,783634,783634,-0.06,78.89%
300512.XSHE,565566,565566,-0.65,45.45%
300982.XSHE,899716,899716,-1.2,10.22%
300774.XSHE,879393,879393,-1.17,12.06%
600782.XSHG,1887377,1887377,0.25,53.9%
000661.XSHE,4031928,4031928,0.4,62.09%
002990.XSHE,817386,817386,-0.82,19.69%
002500.XSHE,429009,429009,-0.11,85.26%
002766.XSHE,364358,364358,-0.78,63.98%
000897.XSHE,569124,569124,-0.11,77.31%
000407.XSHE,250562,250562,-0.76,77.62%
600975.XSHG,1161720,1161720,0.09,60.88%
002767.XSHE,414749,414749,-0.45,72.47%
002991.XSHE,86907,958572,-1.22,12.62%
600783.XSHG,642831,642831,-0.22,77.02%
688318.XSHG,964210,964210,-1.3,3.58%
002501.XSHE,1245247,1245247,0.12,53.5%
603083.XSHG,720264,720264,-1.0,39.44%
001201.XSHE,863153,863153,-1.15,23.46%
688696.XSHG,863333,863333,-1.15,13.67%
003021.XSHE,754967,754967,-0.79,33.73%
688697.XSHG,102524,937867,-1.32,18.66%
003020.XSHE,800740,800740,-1.59,26.34%
000546.XSHE,589972,589972,-0.2,74.08%
002627.XSHE,538857,538857,-0.4,82.78%
600835.XSHG,508130,508130,-0.17,75.46%
002441.XSHE,600031,600031,-0.25,77.73%
688258.XSHG,540970,540970,-0.63,47.15%
000720.XSHE,2365442,2365442,0.28,57.61%
300635.XSHE,756948,756948,-0.5,42.67%
002440.XSHE,1154931,1154931,0.09,57.49%
000721.XSHE,49456,1307960,0.17,93.13%
000547.XSHE,1931748,1931748,0.25,75.74%
600834.XSHG,417803,417803,-0.46,86.68%
002626.XSHE,2904134,2904134,0.34,65.43%
001979.XSHE,837667,837667,-0.48,38.12%
002115.XSHE,221755,221755,-0.69,86.21%
600397.XSHG,330168,330168,-0.47,83.27%
000012.XSHE,204286,204286,-0.82,87.98%
002373.XSHE,3851993,3851993,0.38,69.34%
601339.XSHG,74299,746016,-0.32,74.6%
300107.XSHE,802513,802513,-0.08,74.92%
603058.XSHG,544394,544394,-0.71,61.06%
002372.XSHE,145013,2067998,0.33,60.22%
002114.XSHE,369993,369993,-0.38,67.77%
600396.XSHG,559213,559213,-0.14,79.79%
300360.XSHE,489326,489326,-0.64,67.22%
603059.XSHG,656973,656973,-0.64,37.0%
300106.XSHE,748385,748385,-0.1,65.11%
600759.XSHG,375832,375832,-0.26,66.43%
601901.XSHG,835404,835404,0.04,63.42%
603806.XSHG,2254542,2254542,0.36,59.61%
603496.XSHG,59479,715966,-0.75,52.21%
600758.XSHG,218328,218328,-0.66,88.0%
601900.XSHG,42932,462552,-0.71,57.27%
600305.XSHG,1922754,1922754,0.24,74.46%
002187.XSHE,408955,408955,-0.36,87.03%
600163.XSHG,679235,679235,0.01,65.12%
300195.XSHE,873572,873572,-0.08,60.95%
600162.XSHG,317664,317664,-0.74,73.26%
002186.XSHE,52834,1188648,0.12,65.02%
300194.XSHE,397529,397529,-0.28,81.25%
000628.XSHE,325167,325167,-0.33,84.3%
688350.XSHG,863600,863600,-1.15,13.74%
002549.XSHE,2139575,2139575,0.38,46.37%
603662.XSHG,69405,632033,-0.98,45.18%
000629.XSHE,1420453,1420453,0.18,50.19%
002548.XSHE,523977,523977,-0.37,84.01%
603895.XSHG,546048,546048,-1.02,45.4%
601992.XSHG,703848,703848,-0.19,55.56%
605259.XSHG,924194,924194,-1.26,12.48%
601231.XSHG,1435001,1435001,0.23,49.63%
300269.XSHE,2639147,2639147,0.33,69.08%
300268.XSHE,1523360,1523360,0.2,77.03%
603337.XSHG,852120,852120,-1.88,39.81%
600651.XSHG,427321,427321,-0.35,81.26%
600650.XSHG,824713,824713,0.05,72.5%
600436.XSHG,11342538,11342538,0.63,55.43%
300850.XSHE,586110,586110,-0.67,57.4%
601808.XSHG,36595,397373,-0.24,75.98%
300642.XSHE,687391,687391,-0.85,35.23%
002436.XSHE,1624388,1624388,0.24,54.72%
000531.XSHE,602860,602860,-0.1,71.79%
002650.XSHE,821647,821647,-0.01,53.46%
300643.XSHE,700329,700329,0.05,72.48%
300425.XSHE,493200,493200,-1.0,52.41%
000530.XSHE,151605,151605,-0.9,91.72%
600843.XSHG,577114,577114,-0.25,79.1%
002651.XSHE,1410583,1410583,0.19,71.29%
002437.XSHE,1271284,1271284,0.13,72.26%
000756.XSHE,114458,1521221,0.19,73.39%
300316.XSHE,5582031,5582031,0.51,62.06%
601128.XSHG,648943,648943,-0.58,44.56%
300170.XSHE,502883,502883,-0.22,91.96%
600186.XSHG,1819096,1819096,0.28,39.0%
000065.XSHE,491232,491232,-0.19,89.8%
002304.XSHE,1744013,1744013,0.25,53.2%
002162.XSHE,796935,796935,-0.04,72.88%
300171.XSHE,2553654,2553654,0.3,71.15%
300317.XSHE,1159690,1159690,0.14,77.59%
002163.XSHE,1530618,1530618,0.2,73.33%
600187.XSHG,4663,587649,-0.29,75.31%
002305.XSHE,50559,427363,-0.63,82.65%
603871.XSHG,83378,1516617,0.49,37.55%
603687.XSHG,814061,814061,-0.93,26.76%
600548.XSHG,148981,1464881,0.17,51.69%
603686.XSHG,611595,611595,-0.5,64.97%
600549.XSHG,610775,610775,-0.3,57.55%
300384.XSHE,142400,142400,-0.93,87.96%
002396.XSHE,309627,309627,-0.38,71.44%
600114.XSHG,585927,585927,-0.17,72.27%
300385.XSHE,240537,240537,-0.91,84.67%
600373.XSHG,610830,610830,-0.17,73.47%
002397.XSHE,468351,468351,-0.37,87.94%
600115.XSHG,122944,1244308,0.12,73.41%
603615.XSHG,851030,851030,-0.31,42.1%
002759.XSHE,1231897,1231897,0.18,51.41%
601020.XSHG,567303,567303,-0.88,60.55%
300078.XSHE,788044,788044,0.17,83.02%
603126.XSHG,417919,417919,-0.29,72.05%
300079.XSHE,472787,472787,-0.49,70.04%
601021.XSHG,103337,1138704,0.11,36.5%
300826.XSHE,919072,919072,-0.97,14.65%
601688.XSHG,538844,538844,0.02,77.66%
603979.XSHG,93741,1237700,0.18,44.46%
600626.XSHG,1053446,1053446,0.05,67.88%
000933.XSHE,155782,1440704,0.18,62.34%
603978.XSHG,796146,796146,-0.16,51.94%
300827.XSHE,242587,2431935,0.68,51.58%
601689.XSHG,1776721,1776721,0.34,52.38%
000932.XSHE,1552945,1552945,0.2,47.62%
002835.XSHE,528513,528513,-0.99,54.93%
600501.XSHG,265383,265383,-0.46,89.02%
600991.XSHG,105508,1181322,1.02,16.27%
600767.XSHG,2302477,2302477,0.3,69.94%
300791.XSHE,67886,658946,-0.66,53.13%
603838.XSHG,728755,728755,-0.88,47.42%
600766.XSHG,19193,732998,0.07,81.84%
000685.XSHE,403501,403501,-0.2,83.76%
600500.XSHG,544062,544062,-0.28,79.69%
600990.XSHG,805583,805583,-0.0,85.24%
603839.XSHG,604867,604867,-1.01,48.38%
300790.XSHE,1357609,1357609,0.33,31.06%
300139.XSHE,235752,235752,-0.45,88.0%
603066.XSHG,67664,888579,-0.26,41.6%
603200.XSHG,512759,512759,-0.61,68.45%
605108.XSHG,97010,1626113,0.68,34.34%
603067.XSHG,842125,842125,-0.11,45.43%
300138.XSHE,77360,837750,0.05,77.01%
000578.XSHE,770022,770022,-40.53,24.51%
002619.XSHE,1794417,1794417,0.29,49.31%
688266.XSHG,823276,823276,-1.23,18.67%
688001.XSHG,651162,651162,-1.08,36.2%
002618.XSHE,1071445,1071445,0.11,60.59%
603755.XSHG,705794,705794,-1.01,34.09%
600233.XSHG,96198,1406382,0.18,55.04%
600055.XSHG,1032684,1032684,0.07,83.77%
600054.XSHG,96224,1003441,-0.05,59.59%
600232.XSHG,381238,381238,-0.24,83.57%
600409.XSHG,1131586,1131586,0.06,65.1%
600898.XSHG,545164,545164,-0.35,82.01%
600408.XSHG,698449,698449,-0.16,52.28%
688093.XSHG,648592,648592,-1.51,40.26%
603931.XSHG,80576,930671,-0.9,27.86%
605001.XSHG,113332,845271,-0.84,29.86%
002023.XSHE,364082,364082,-0.42,87.4%
002245.XSHE,8047239,8047239,0.48,47.66%
300031.XSHE,2751029,2751029,0.26,55.65%
601069.XSHG,374089,374089,-1.23,68.91%
603308.XSHG,105137,1039452,0.12,60.55%
300257.XSHE,631129,631129,-0.09,78.09%
605266.XSHG,81704,1230091,0.61,23.47%
002244.XSHE,714019,714019,0.0,79.55%
002022.XSHE,1871343,1871343,0.33,55.05%
601068.XSHG,873282,873282,0.01,54.38%
300256.XSHE,319376,319376,-0.59,81.69%
603309.XSHG,52290,649762,-0.77,56.44%
300030.XSHE,2296936,2296936,0.42,59.75%
002711.XSHE,788878,788878,-0.37,53.58%
600593.XSHG,47018,575200,0.03,65.57%
000616.XSHE,29130,389885,-0.65,85.27%
002577.XSHE,2090417,2090417,0.29,66.17%
300703.XSHE,602328,602328,-0.69,57.32%
000617.XSHE,90897,787563,-0.25,63.58%
002576.XSHE,1113425,1113425,0.12,81.25%
600592.XSHG,786262,786262,-0.0,63.12%
300564.XSHE,696264,696264,-0.65,33.99%
300702.XSHE,1048429,1048429,0.18,73.76%
603196.XSHG,39020,349424,-1.07,68.07%
600259.XSHG,422490,422490,-0.56,65.96%
603197.XSHG,971406,971406,0.1,46.04%
600258.XSHG,37138,383221,-0.19,74.25%
603558.XSHG,349228,349228,-0.72,67.98%
300407.XSHE,170397,170397,-0.94,82.96%
300661.XSHE,3884070,3884070,0.55,54.05%
002415.XSHE,3526860,3526860,0.37,52.12%
002885.XSHE,600112,600112,-0.31,61.46%
600697.XSHG,37499,411620,-0.25,81.51%
600861.XSHG,83959,881189,0.01,79.11%
000982.XSHE,943062,943062,0.08,52.97%
002673.XSHE,1155795,1155795,0.16,80.67%
300660.XSHE,750534,750534,-0.16,50.11%
300896.XSHE,929518,929518,-1.06,12.83%
000513.XSHE,2188958,2188958,0.4,58.2%
002672.XSHE,446352,446352,-0.59,73.64%
600860.XSHG,2518193,2518193,0.24,60.61%
000983.XSHE,1008186,1008186,-0.02,54.03%
002414.XSHE,7981048,7981048,0.42,46.44%
600696.XSHG,1238441,1238441,0.19,78.74%
002884.XSHE,1434058,1434058,0.31,31.32%
300335.XSHE,545883,545883,-0.31,74.01%
300153.XSHE,1589412,1589412,0.21,70.45%
000046.XSHE,977123,977123,0.05,52.05%
002327.XSHE,677246,677246,-0.39,76.84%
605305.XSHG,791590,791590,-1.1,22.48%
002141.XSHE,1367941,1367941,0.18,76.51%
300152.XSHE,351500,351500,-0.3,84.58%
300334.XSHE,297573,297573,-0.74,84.33%
002140.XSHE,508207,508207,-0.13,69.6%
002326.XSHE,2991582,2991582,0.26,83.0%
688396.XSHG,824157,824157,-1.64,34.22%
000488.XSHE,2900086,2900086,0.49,59.4%
000818.XSHE,1512808,1512808,0.2,76.25%
000819.XSHE,24817,515488,0.02,88.46%
601199.XSHG,637202,637202,-0.11,74.08%
600137.XSHG,635246,635246,-0.11,80.11%
600351.XSHG,398427,398427,-0.36,82.15%
601198.XSHG,506849,506849,-0.69,54.2%
600350.XSHG,60780,671945,-0.1,78.28%
600136.XSHG,912642,912642,0.11,67.69%
300769.XSHE,4023471,4023471,0.95,46.24%
603636.XSHG,73530,729053,-0.27,54.5%
600969.XSHG,375137,375137,-0.6,73.97%
603637.XSHG,502841,502841,-0.71,59.75%
300768.XSHE,752650,752650,-1.14,38.4%
600968.XSHG,86817,849854,-0.93,32.61%
688305.XSHG,853080,853080,-1.14,26.4%
601003.XSHG,1355959,1355959,0.16,57.15%
002049.XSHE,1668103,1668103,0.23,69.19%
601002.XSHG,1072902,1072902,0.1,72.45%
603363.XSHG,1174020,1174020,0.28,48.29%
002048.XSHE,1073026,1073026,0.06,62.88%
300495.XSHE,571315,571315,-0.88,42.95%
300805.XSHE,984113,984113,-2.03,1.67%
600605.XSHG,437199,437199,-0.26,71.56%
002487.XSHE,384197,3694671,0.32,76.25%
000910.XSHE,1132743,1132743,0.08,68.35%
600463.XSHG,19395,204619,-0.65,93.61%
000911.XSHE,450034,450034,-0.54,72.05%
600462.XSHG,1722305,1722305,0.21,35.05%
000581.XSHE,580845,580845,-0.22,63.07%
600604.XSHG,744486,744486,0.02,60.88%
002486.XSHE,40827,451619,-0.27,86.64%
600522.XSHG,1454821,1454821,0.2,57.38%
000851.XSHE,599770,599770,-0.48,60.41%
002956.XSHE,699743,699743,-0.68,34.5%
600744.XSHG,1349240,1349240,0.14,75.21%
600745.XSHG,1151226,1151226,0.19,76.26%
002957.XSHE,537799,537799,-0.74,46.22%
600523.XSHG,275352,275352,-0.37,81.45%
000850.XSHE,922648,922648,-0.01,52.5%
002108.XSHE,1359504,1359504,0.16,58.98%
688711.XSHG,99863,978695,-1.94,7.07%
688577.XSHG,874620,874620,-0.77,21.26%
603223.XSHG,2291548,2291548,0.4,35.72%
002109.XSHE,493718,493718,-0.26,65.79%
603222.XSHG,1561597,1561597,0.25,43.03%
688023.XSHG,85721,871640,-1.17,28.75%
600828.XSHG,50680,578930,-0.3,60.97%
300628.XSHE,1687392,1687392,0.37,42.17%
601886.XSHG,463920,463920,-0.55,83.59%
001965.XSHE,614055,614055,-0.92,40.36%
688022.XSHG,1115010,1115010,0.18,38.95%
600829.XSHG,334992,334992,-0.33,85.81%
603980.XSHG,695786,695786,-0.68,31.27%
603776.XSHG,470335,470335,-0.73,56.01%
002092.XSHE,1319027,1319027,0.14,58.78%
600210.XSHG,1499046,1499046,0.18,70.26%
600076.XSHG,280690,280690,-0.49,82.37%
300080.XSHE,82307,82307,-0.9,91.98%
600077.XSHG,207286,207286,-0.93,84.23%
002093.XSHE,2206,218694,-0.4,91.22%
600211.XSHG,4284677,4284677,0.27,60.08%
300081.XSHE,411717,411717,-0.09,92.38%
000959.XSHE,1439521,1439521,0.19,49.13%
603583.XSHG,1288245,1288245,0.26,52.87%
000958.XSHE,1568780,1568780,0.18,81.2%
603912.XSHG,756566,756566,-0.48,50.89%
600282.XSHG,1046499,1046499,0.04,59.86%
002266.XSHE,908392,908392,0.1,67.32%
300012.XSHE,3841825,3841825,0.38,59.97%
300274.XSHE,8986517,8986517,0.42,79.84%
002267.XSHE,707598,707598,-0.57,54.99%
600283.XSHG,454644,454644,-0.31,81.44%
688618.XSHG,91986,1367526,0.65,21.15%
002001.XSHE,2379539,2379539,0.33,45.72%
300275.XSHE,134507,134507,-0.85,89.6%
300013.XSHE,1327398,1327398,0.16,79.81%
002732.XSHE,602605,602605,-0.44,62.91%
