ticker,cash,value,SharpeRatio,DrawDown
000635.XSHE,1125281,1125281,0.11,50.11%
002554.XSHE,44607,512580,-0.28,66.78%
300720.XSHE,668332,668332,-0.12,67.48%
603889.XSHG,47969,573000,-0.74,49.97%
601778.XSHG,797595,797595,-1.55,28.89%
002555.XSHE,8360192,8360192,0.52,69.76%
002733.XSHE,242946,242946,-0.93,75.71%
300721.XSHE,1802860,1802860,0.54,31.76%
600318.XSHG,1144348,1144348,0.12,76.22%
300188.XSHE,524029,524029,-0.05,76.72%
600319.XSHG,502814,502814,-0.24,77.6%
300189.XSHE,1065446,1065446,0.14,59.6%
300933.XSHE,930393,930393,-11.34,22.75%
002921.XSHE,706792,706792,-0.96,40.31%
600733.XSHG,1484083,1484083,0.18,65.51%
600555.XSHG,1744921,1744921,0.22,48.64%
000826.XSHE,874260,874260,-0.03,59.62%
300932.XSHE,847181,847181,-1.13,15.28%
600732.XSHG,9513,1810135,0.25,56.19%
002920.XSHE,2010611,2010611,0.39,37.01%
603032.XSHG,192129,2068107,0.34,48.15%
000078.XSHE,479989,479989,-0.1,85.38%
002319.XSHE,718456,718456,-0.04,75.86%
603033.XSHG,1425314,1425314,0.34,50.07%
688501.XSHG,773734,773734,-1.09,34.25%
002318.XSHE,159154,1593589,0.23,63.4%
601607.XSHG,696353,696353,-0.3,65.37%
603700.XSHG,953339,953339,-0.42,34.01%
688232.XSHG,95037,1250277,0.92,19.15%
603701.XSHG,22337,384174,-0.2,79.65%
603567.XSHG,766931,766931,-0.44,29.32%
688233.XSHG,851140,851140,-0.32,35.6%
300291.XSHE,1370584,1370584,0.17,61.89%
002283.XSHE,1653093,1653093,0.24,71.71%
301059.XSHE,958247,958247,-1.48,7.98%
600267.XSHG,636842,636842,-0.39,49.82%
300290.XSHE,278312,278312,-0.3,92.48%
301058.XSHE,833704,833704,-1.12,16.68%
600266.XSHG,89194,723023,0.04,70.32%
600000.XSHG,1198299,1198299,0.09,36.63%
002282.XSHE,1201850,1201850,0.12,52.35%
002829.XSHE,810153,810153,-0.07,46.79%
002828.XSHE,356991,356991,-1.08,65.39%
300203.XSHE,57950,965813,0.04,67.94%
300065.XSHE,1432841,1432841,0.2,82.06%
002211.XSHE,465408,465408,-0.32,64.75%
600093.XSHG,327441,327441,-0.35,88.88%
688408.XSHG,790947,790947,-1.47,33.94%
002077.XSHE,47368,949001,0.07,79.72%
300064.XSHE,469478,469478,-0.19,85.05%
300202.XSHE,3436878,3436878,0.37,72.66%
002076.XSHE,66461,1003222,0.04,64.69%
002210.XSHE,1143629,1143629,0.15,80.15%
300757.XSHE,85894,670056,-0.43,44.81%
603608.XSHG,503447,503447,-1.03,52.78%
002523.XSHE,702755,702755,-0.35,74.98%
002745.XSHE,574797,574797,-0.96,52.6%
603609.XSHG,47532,515939,-0.53,52.42%
300756.XSHE,79549,670884,-1.22,43.96%
600956.XSHG,995903,995903,0.0,31.98%
000425.XSHE,684353,684353,-0.03,66.63%
002522.XSHE,1752224,1752224,0.23,79.85%
600109.XSHG,1391212,1391212,0.15,65.4%
300398.XSHE,446337,446337,-0.52,62.32%
600108.XSHG,467167,467167,-0.53,63.74%
600048.XSHG,1101404,1101404,0.11,49.9%
003002.XSHE,44745,856423,-0.85,45.78%
603387.XSHG,457589,457589,-1.08,57.11%
603386.XSHG,598556,598556,-1.05,44.31%
003003.XSHE,961359,961359,-1.26,14.41%
600486.XSHG,1234831,1234831,0.14,59.21%
000565.XSHE,590214,590214,-0.11,86.71%
600816.XSHG,2756947,2756947,0.33,50.04%
002604.XSHE,464771,464771,-0.28,75.87%
002462.XSHE,114147,1199328,0.11,82.8%
300616.XSHE,542015,542015,-0.87,52.17%
300470.XSHE,742101,742101,-0.19,42.88%
002463.XSHE,2927380,2927380,0.28,65.27%
000702.XSHE,415216,415216,-0.14,85.33%
600487.XSHG,1596333,1596333,0.21,62.75%
000564.XSHE,53174,1291425,0.18,65.68%
002605.XSHE,8537647,8537647,0.74,41.68%
600817.XSHG,2120197,2120197,0.31,46.49%
300471.XSHE,715497,715497,0.0,70.27%
002136.XSHE,1662907,1662907,0.24,66.01%
000031.XSHE,201628,984904,0.03,74.11%
002350.XSHE,275461,275461,-0.66,75.95%
300124.XSHE,268923,3189870,0.31,71.66%
300342.XSHE,1393390,1393390,0.21,56.41%
000030.XSHE,509104,509104,-0.28,80.93%
002351.XSHE,2466739,2466739,0.26,79.27%
002137.XSHE,1817,200141,-0.01,93.26%
300343.XSHE,1476111,1476111,0.23,82.94%
300125.XSHE,436911,436911,-0.21,90.81%
002968.XSHE,963404,963404,-1.21,17.68%
603825.XSHG,558738,558738,-0.64,45.44%
000698.XSHE,59044,640496,-0.35,73.41%
002969.XSHE,875928,875928,-1.05,14.0%
688186.XSHG,946512,946512,-0.17,43.97%
600326.XSHG,671756,671756,-0.19,61.93%
605186.XSHG,781748,781748,-1.49,31.04%
601388.XSHG,1090932,1090932,0.17,71.92%
600141.XSHG,676249,676249,0.08,72.17%
600327.XSHG,666333,666333,-0.14,68.83%
300579.XSHE,866901,866901,-0.04,56.27%
002258.XSHE,1032860,1032860,0.06,66.63%
603315.XSHG,739404,739404,0.01,55.99%
002259.XSHE,79116,792202,-0.03,69.37%
600884.XSHG,748143,748143,0.01,72.48%
000967.XSHE,555514,555514,-0.08,86.07%
002696.XSHE,41095,464269,-0.62,78.68%
002860.XSHE,867720,867720,-0.09,34.14%
000791.XSHE,310942,310942,-0.18,80.39%
300872.XSHE,897747,897747,-0.91,10.3%
600673.XSHG,920721,920721,0.04,70.45%
000790.XSHE,319736,319736,-0.54,85.22%
002861.XSHE,552976,552976,-0.41,64.72%
002697.XSHE,110962,1285672,0.17,64.64%
600885.XSHG,1154825,1154825,0.1,62.58%
000966.XSHE,2224075,2224075,0.3,61.66%
600415.XSHG,1149086,1149086,0.1,76.9%
300873.XSHE,747994,747994,-1.0,28.95%
002739.XSHE,87599,751136,-0.84,29.41%
601985.XSHG,1195297,1195297,0.15,20.42%
601515.XSHG,593766,593766,-0.13,68.46%
002190.XSHE,449072,449072,-0.07,79.78%
600312.XSHG,597436,597436,-0.24,67.97%
300182.XSHE,334981,334981,-0.18,89.26%
600175.XSHG,1791974,1791974,0.31,48.04%
000096.XSHE,336938,336938,-0.64,87.19%
002191.XSHE,1814772,1814772,0.24,59.05%
688788.XSHG,900925,900925,-0.92,19.87%
600313.XSHG,54831,463251,-0.21,81.84%
300183.XSHE,600262,600262,-0.23,66.77%
600420.XSHG,277853,277853,-1.26,84.48%
000953.XSHE,43474,426997,-0.25,83.85%
603919.XSHG,1342218,1342218,0.22,49.87%
603589.XSHG,75792,890355,-0.1,44.13%
