ticker,cash,value,夏普比率,最大回撤
AAPL,340724,4199947,0.71,24.97%
NVDA,3196187,49981285,1.08,38.99%
GOOGL,150551,2211156,0.47,20.04%
MSFT,413950,5106885,1.06,21.51%
TSLA,304642,3003383,0.31,55.97%
