ticker,cash,value,sharpeRatio,drawDown,bonusRatio
TECH,1618378,1618378,0.23,42.71,61.84%
JPM,142025,1603584,0.26,32.49,60.36%
TER,134850,1599001,0.2,52.43,59.90%
CF,1477596,1477596,0.19,39.53,47.76%
TRMB,1471287,1471287,0.18,42.89,47.13%
RJF,1455225,1455225,0.17,33.54,45.52%
OXY,1330483,1330483,0.16,28.32,33.05%
ROL,108612,1314129,0.14,47.89,31.41%
ON,122231,1286270,0.17,56.8,28.63%
DE,108272,1281177,0.12,42.43,28.12%
NVR,1280048,1280048,0.14,21.42,28.00%
CMG,123698,1256001,0.12,39.43,25.60%
DRI,109173,1213312,0.09,42.28,21.33%
NASDAQ,1204576,1204576,0.12,7.85,20.46%
NTAP,95766,1096790,0.06,48.01,9.68%
ZION,994914,994914,0.03,41.05,-0.51%
